symbol,name,sector,industry
A,Agilent Technologies Inc. Common Stock,Capital Goods,Electrical Products
AA,Alcoa Corporation Common Stock ,Basic Industries,Metal Fabrications
AAC,Ares Acquisition Corporation Class A Ordinary Shares,Finance,Business Services
AACG,ATA Creativity Global American Depositary Shares,Miscellaneous,Service to the Health Industry
AACI,Armada Acquisition Corp. I Common Stock,,
AACIU,Armada Acquisition Corp. I Unit,,
AACIW,Armada Acquisition Corp. I Warrant,,
AADI,Aadi Bioscience Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AAIC,Arlington Asset Investment Corp Class A (new),Consumer Services,Real Estate Investment Trusts
AAIC^B,Arlington Asset Investment Corp 7.00% ,,
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,,
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,,
AAL,American Airlines Group Inc. Common Stock,Transportation,Air Freight/Delivery Services
AAM^A,Apollo Asset Management Inc. 6.375% Series A Preferred Stock,,
AAM^B,Apollo Asset Management Inc. 6.375% Series B Preferred Stock,,
AAMC,Altisource Asset Management Corp Com,Finance,Investment Managers
AAME,Atlantic American Corporation Common Stock,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock ,Miscellaneous,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,Technology,Semiconductors
AAON,AAON Inc. Common Stock,Capital Goods,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,Consumer Services,Other Specialty Stores
AAPL,Apple Inc. Common Stock,Technology,Computer Manufacturing
AAQC,Accelerate Acquisition Corp. Class A Common Stock,,
AAT,American Assets Trust Inc. Common Stock,Consumer Services,Real Estate Investment Trusts
AATC,Autoscope Technologies Corporation Common Stock,Capital Goods,Industrial Machinery/Components
AAU,Almaden Minerals Ltd. Common Shares,,
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,Transportation,Transportation Services
AB,AllianceBernstein Holding L.P.  Units,Finance,Investment Managers
ABB,ABB Ltd Common Stock,Consumer Durables,Electrical Products
ABBV,AbbVie Inc. Common Stock,Health Care,Other Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp Common Stock,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,,
ABCM,Abcam plc American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
